key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,788.2573,space,8.0324,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.4393,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2823,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.8167,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,space,9.7212,space,8.3579,0,0,0,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.6682,0,1,1,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.7697,0,2,2,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.2682,0,3,3,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.1011,0,4,4,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.1334,0,5,5,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.0814,0,6,6,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,17.0564,0,7,7,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,8.4521,0,8,8,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,8.6027,0,9,9,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.2517,0,10,10,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.5014,0,11,11,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,5.8682,0,12,12,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.7367,0,13,13,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.0257,0,14,14,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.9529,0,15,15,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,5.8859,0,16,16,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.5489,0,17,17,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,9.4881,0,18,18,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.4511,0,0,0,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,5.6312,0,1,1,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.4305,0,2,2,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.6501,0,3,3,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,8.3655,0,4,4,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.172,0,5,5,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.351,0,6,6,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,6.4542,0,7,7,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,19.9661,0,8,8,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.5971,0,9,9,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.4868,0,10,10,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mae116,2023-02-07_16h31.28.626,english_experiment2,2022.1.4,Win32,59.9268892,,,space,7.4366,0,11,11,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
