key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,140.119,space,9.2972,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.8131,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3315,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1169,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,space,6.0827,space,5.9253,0,0,0,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,6.1833,0,1,1,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,6.2701,0,2,2,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.7818,0,3,3,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.5803,0,4,4,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,4.9212,0,5,5,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,4.952,0,6,6,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.7664,0,7,7,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.681,0,8,8,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.2976,0,9,9,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.7375,0,10,10,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,7.6669,0,11,11,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.8817,0,12,12,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.4738,0,13,13,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.4799,0,14,14,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.8205,0,15,15,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.3865,0,16,16,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,8.87,0,17,17,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.3688,0,18,18,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.5684,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,6.2019,0,1,1,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.5317,0,2,2,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,4.8385,0,3,3,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.6666,0,4,4,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.0479,0,5,5,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.0542,0,6,6,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.1687,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.259,0,8,8,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,5.367,0,9,9,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,8.2656,0,10,10,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-06-2023_07h25.06.411,english_experiment2,2022.1.4,Win32,59.93766483,,,space,6.2841,0,11,11,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
