key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2513.9338,space,4.7366,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1679,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.8582,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.3088,0,3,3,1,1,"""Depende del clima"" —respondió claramente.",nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,space,3.3015,space,3.8609,0,0,0,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,space,8.4045,0,1,1,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,space,7.9709,0,2,2,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,space,4.8623,0,3,3,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,space,4.0109,0,4,4,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nde013,03-17-2023_13h09.38.817,spanish_exp2,2022.1.4,Win32,60.13229104,,,space,11.5389,0,5,5,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
