key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,1569.7943,space,6.885,0,0,0,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3027,0,1,1,1,1,"""Depèn de la temporada"" —explica seriòs.",nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.6423,0,2,2,3,1,"""T'estimo molt"" —va sospirar content.",nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.1095,0,3,3,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,space,3.8631,space,6.0167,0,0,0,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.6823,0,1,1,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.0268,0,2,2,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.5255,0,3,3,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.7622,0,4,4,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.0165,0,5,5,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,7.0282,0,6,6,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.6456,0,7,7,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.0771,0,8,8,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.6202,0,9,9,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.7975,0,10,10,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.2919,0,11,11,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.7377,0,12,12,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.931,0,13,13,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.4356,0,0,0,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.1074,0,1,1,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,4.8909,0,2,2,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,4.4696,0,3,3,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.8543,0,4,4,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.0463,0,5,5,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.3279,0,6,6,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.5915,0,7,7,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.629,0,8,8,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.6344,0,9,9,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.0144,0,10,10,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.3995,0,11,11,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.8114,0,12,12,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,9.1457,0,13,13,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,,,,,,,,,,,,,,,,,,,space,10.6283,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.0492,0,0,0,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.1605,0,1,1,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.736,0,2,2,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.3701,0,3,3,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.1331,0,4,4,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,7.1154,0,5,5,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.1139,0,6,6,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.5475,0,7,7,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.2587,0,8,8,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,10.4107,0,9,9,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.2573,0,10,10,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.8962,0,11,11,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,6.3199,0,12,12,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,03-21-2023_17h03.30.723,catalan_exp2,2022.1.4,Win32,60.1612321,,,space,5.4377,0,13,13,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
