key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,35.0664,space,10.0839,0,0,0,2,1,"""Me gustaría un café"" —pienso complacido.",nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.1931,0,1,1,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4281,0,2,2,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1073,0,3,3,1,1,"""Depende del clima"" —respondió claramente.",nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,space,10.5596,space,6.2824,0,0,0,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.566,0,1,1,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.03,0,2,2,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.8603,0,3,3,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,5.3491,0,4,4,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,7.998,0,5,5,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.7119,0,6,6,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,9.7969,0,7,7,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,8.5664,0,8,8,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nie059,2023-04-09_12h25.11.678,spanish_exp2,2022.1.4,MacIntel,120.0048002,,,space,6.3734,0,9,9,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
