key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,150.6989,space,8.5495,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.4495,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.501,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.182,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,space,4.4168,space,4.4685,0,0,0,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.3949,0,1,1,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.4447,0,2,2,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.4177,0,3,3,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.6857,0,4,4,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.6705,0,5,5,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.8537,0,6,6,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.5951,0,7,7,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.7266,0,8,8,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nir048,02/24/2023_07h21.11.220,english_experiment2,2022.1.4,Win32,59.90176111,,,space,4.8862,0,9,9,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
