key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialspanish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,stress,wordspanish,verbspanish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialReps.thisRepN,mainTrialReps.thisTrialN,mainTrialReps.thisN,mainTrialReps.thisIndex,mainTrialReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,14.2824,space,6.7501,0,0,0,0,1,"""Le regaló una camiseta a su sobrino"" —digo contento.",,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.0919,0,1,1,3,1,"""Te quiero mucho"" —suspiró contenta Teresa.",,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.2596,0,2,2,2,1,"""Me gustaría un café"" —pienso complacido.",,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.1912,0,3,3,1,1,"""Depende del clima"" —respondió claramente.",,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,space,3.453,space,5.8876,0,0,0,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.4122,0,1,1,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,11.4165,0,2,2,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.9685,0,3,3,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.0669,0,4,4,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriosamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.5116,0,5,5,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.6919,0,6,6,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.3612,0,7,7,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.4529,0,8,8,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.4658,0,9,9,1,1,target,ultimate,"""Con la lluvia el viento es muy fuerte"" —determinó complacida.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.5717,0,10,10,0,1,target,penultimate,"""No me gusta el té de manzanilla"" —abomino con certeza.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.4028,0,11,11,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,6.9947,0,12,12,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,11.0722,0,13,13,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.4329,0,0,0,5,1,target,penultimate,"""Estas son las luces nuevas"" —ilumino contenta.",iluminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.9642,0,1,1,6,1,target,ultimate,"""Lee estos artículos"" —le encaminó con ilusión.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.809,0,2,2,8,1,target,ultimate,"""Este es más fuerte"" —discriminó tímida.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.2427,0,3,3,4,1,target,ultimate,"""Desarrollen esta ecuación"" —los examinó seriosamente.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.4527,0,4,4,10,1,target,ultimate,"""Tarjeta roja"" —los eliminó segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.8535,0,5,5,1,1,target,penultimate,"""La masa del átomo es medible"" —determino complacida.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.5,0,6,6,11,1,target,penultimate,"""Los Osvald, culpables"" —les incrimino seguro.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,9.5092,0,7,7,9,1,target,penultimate,"""No puedo estudiar matemáticas"" —me desanimo compungida.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,6.5943,0,8,8,12,1,target,ultimate,"""Este insecticida es muy eficaz"" —exterminó complacida.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,15.5722,0,9,9,3,1,target,penultimate,"""La directora Pérez renuncia a su cargo"" —disemino compungido.",diseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.3992,0,10,10,13,1,target,penultimate,"""Se llamará beta"" —lo denomino complacido.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.2228,0,11,11,0,1,target,ultimate,"""No me gustan las corridas"" —abominó con certeza.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.3979,0,12,12,7,1,target,penultimate,"""No me gusta su conducta"" —les recrimino con intensidad.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.8957,0,13,13,2,1,target,ultimate,"""Este es el camino más corto"" —la descaminó complacido.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,,,,,,,,,,,,,,,,,,,space,6.45,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,10.4681,0,0,0,8,1,target,penultimate,"""Este tiene menos azúcar"" —discrimino tímida.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.0541,0,1,1,2,1,target,penultimate,"""Este no es mi número de teléfono"" —la descamino complacido.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.6623,0,2,2,5,1,target,ultimate,"""Compré esta lámpara ayer"" —iluminó contenta.",iluminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.7049,0,3,3,3,1,target,ultimate,"""El presidente del estado se encuentra enfermo"" —diseminó compungido.",diseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.1406,0,4,4,7,1,target,ultimate,"""Me robaron"" —les recriminó con intensidad.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.3596,0,5,5,6,1,target,penultimate,"""Confirma la cita para mañana"" —le encamino con ilusión. ",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.4374,0,6,6,10,1,target,penultimate,"""No son necesarios"" —los elimino segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.1671,0,7,7,11,1,target,ultimate,"""Entraron sin pedir permiso"" —les incriminó seguro.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,5.2624,0,8,8,12,1,target,penultimate,"""No habrá más cucarachas"" —extermino complacida.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,7.2968,0,9,9,13,1,target,ultimate,"""Retrato de un hombre triste"" —lo denominó complacido. ",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,9.262,0,10,10,9,1,target,ultimate,"""No puedo cocinar sin quemar la comida"" —me desanimó compungida.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,02-27-2023_09h23.20.971,spanish_exp2,2022.1.4,Win32,55.88153115,,,space,4.6149,0,11,11,4,1,target,penultimate,"""Escriban la respuesta"" —los examino seriosamente.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
