key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,228.7705,space,10.0515,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3191,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.6853,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.0816,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,space,8.8311,space,6.9868,0,0,0,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,space,5.6195,0,1,1,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,space,6.5763,0,2,2,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,space,7.0697,0,3,3,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,space,7.6012,0,4,4,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,nlc102,02/14/2023_13h22.38.258,english_experiment2,2022.1.4,Win32,60.05645307,,,space,5.9235,0,5,5,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
