key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,318.9189,space,7.9358,0,0,0,3,1,"No, he won't WASH the dishes, but he will dry them.",oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5679,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5491,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.9512,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,space,15.2653,space,7.0632,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,5.7176,0,1,1,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,48.4334,0,2,2,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,8.9329,0,3,3,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,40.0975,0,4,4,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,9.1772,0,5,5,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,5.2848,0,6,6,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.7026,0,7,7,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,4.884,0,8,8,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,5.132,0,9,9,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,oan043,2023-03-24_10h30.09.119,english_experiment2,2022.1.4,Win32,59.84440455,,,space,5.7532,0,10,10,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
