key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,848.5759,space,6.9836,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7291,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4028,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5711,0,3,3,0,1,"No, she doesn't EAT the plants, but she grows them.",odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,space,6.4706,space,11.1754,0,0,0,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,6.7111,0,1,1,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,7.1378,0,2,2,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,5.663,0,3,3,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,7.1984,0,4,4,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,7.4065,0,5,5,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,6.146,0,6,6,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,6.118,0,7,7,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,4.9382,0,8,8,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,odm115,2023-05-25_16h20.14.125,english_experiment2,2022.1.4,Win32,60.0240096,,,space,6.0861,0,9,9,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
