key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,81.6724,space,10.4579,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.784,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.7164,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,12.8823,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,space,5.3149,space,7.1817,0,0,0,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,7.2806,0,1,1,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,7.6917,0,2,2,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,7.1794,0,3,3,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.6791,0,4,4,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.4124,0,5,5,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.8299,0,6,6,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.697,0,7,7,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,7.13,0,8,8,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.9276,0,9,9,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.7488,0,10,10,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.7301,0,11,11,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.664,0,12,12,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.6501,0,13,13,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.3392,0,14,14,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,5.9531,0,15,15,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.5247,0,16,16,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.4232,0,17,17,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,5.6741,0,18,18,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.7513,0,0,0,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.3834,0,1,1,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.81,0,2,2,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,5.6993,0,3,3,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.9965,0,4,4,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.7556,0,5,5,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,5.9775,0,6,6,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rre101,02/14/2023_09h22.56.270,english_experiment2,2022.1.4,Win32,60.2300789,,,space,6.6164,0,7,7,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
