key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,260.4313,space,9.4518,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,9.4919,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.6152,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.4115,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,space,9.0129,space,7.5716,0,0,0,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.4041,0,1,1,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.3556,0,2,2,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.5812,0,3,3,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.0459,0,4,4,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.89,0,5,5,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.7392,0,6,6,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.5018,0,7,7,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.9919,0,8,8,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.5079,0,9,9,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.1295,0,10,10,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.5731,0,11,11,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.3296,0,12,12,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.6255,0,13,13,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.805,0,14,14,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.1625,0,15,15,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.2265,0,16,16,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.058,0,17,17,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,5.7796,0,18,18,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.6672,0,0,0,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.3035,0,1,1,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.9884,0,2,2,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,7.1966,0,3,3,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.3239,0,4,4,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.3043,0,5,5,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.4992,0,6,6,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.3879,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.1147,0,8,8,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,6.1645,0,9,9,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rrr070,02/21/2023_09h21.10.467,english_experiment2,2022.1.4,Win32,60.03842459,,,space,5.2877,0,10,10,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
