key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,360.048,space,11.2216,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.8561,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.5236,0,2,2,2,1,"No, we couldn't SEE the flowers, but we could smell them.",rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.6676,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,space,6.8382,space,7.2954,0,0,0,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,6.6449,0,1,1,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,7.974,0,2,2,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,7.0435,0,3,3,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,6.3353,0,4,4,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,6.5822,0,5,5,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,6.7678,0,6,6,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,7.5718,0,7,7,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,7.3398,0,8,8,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,rsj0489,2023-03-27_15h25.09.882,english_experiment2,2022.1.4,Win32,60.04563468,,,space,7.8187,0,9,9,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
