key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,527.8838,space,10.1546,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.4061,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3776,0,2,2,3,1,"No, he won't WASH the dishes, but he will dry them.",ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9355,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,space,6.3348,space,6.0299,0,0,0,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,6.1077,0,1,1,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.2496,0,2,2,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.3655,0,3,3,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.4441,0,4,4,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.329,0,5,5,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.8988,0,6,6,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.9842,0,7,7,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.2262,0,8,8,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.7396,0,9,9,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.9329,0,10,10,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.6225,0,11,11,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.0821,0,12,12,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,11.2841,0,13,13,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.6719,0,14,14,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,6.4323,0,15,15,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.257,0,16,16,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.1361,0,17,17,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.5877,0,18,18,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.3204,0,0,0,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.4812,0,1,1,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.329,0,2,2,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.6703,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.2628,0,4,4,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.4537,0,5,5,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.0075,0,6,6,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,6.5351,0,7,7,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.1836,0,8,8,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.878,0,9,9,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.2306,0,10,10,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.6752,0,11,11,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.8541,0,12,12,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.6497,0,13,13,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.3618,0,14,14,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.2563,0,15,15,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.4006,0,16,16,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.7997,0,17,17,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.9782,0,18,18,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,0,1,1,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,,,,,,,,,,,,,,,,,,,,space,36.3346,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,5.5354,0,0,0,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.3407,0,1,1,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.5428,0,2,2,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.3987,0,3,3,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ruj030,02/17/2023_09h00.16.217,english_experiment2,2022.1.4,Win32,60.47411708,,,space,4.9495,0,4,4,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
