key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,466.9855,space,8.2615,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.1272,0,1,1,1,1,"No, there wasn't DEW on the ground, but there was frost.",sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.3387,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.1795,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,space,7.3564,space,6.056,0,0,0,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.8319,0,1,1,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.7323,0,2,2,8,1,target,0,penultimate,"No, I didn’t SELL my trusty gps, but I broke it.",trusty,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.5862,0,3,3,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.7284,0,4,4,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.1811,0,5,5,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.8137,0,6,6,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.1017,0,7,7,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.9307,0,8,8,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,11.6527,0,9,9,4,1,target,0,penultimate,"No, THEY don’t want an impress of their hands, but the kids do.",impress,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.8614,0,10,10,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,17.0537,0,11,11,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.1743,0,12,12,1,1,target,0,ultimate,"No, THEY don’t discount his abilities, we do.",discount,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.5048,0,13,13,7,1,target,0,ultimate,"No, my PARENTS won’t relay my message, but my sister will.",relay,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.381,0,14,14,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.803,0,15,15,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,7.1031,0,16,16,2,1,target,0,penultimate,"No, he didn’t SHAME his forebear today, he honored him.",forebear,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.8848,0,17,17,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.3127,0,18,18,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,,,,,,,,,,,,,,0,0,0,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.0699,0,0,0,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.7354,0,1,1,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.8514,0,2,2,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,6.0184,0,3,3,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.8869,0,4,4,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.3093,0,5,5,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,5.3,0,6,6,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sas050,2023-03-21_17h28.07.316,english_experiment2,2022.1.4,Win32,59.99520038,,,space,11.414,0,7,7,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
