key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,354.7913,space,22.9173,0,0,0,1,1,"No, there wasn't DEW on the ground, but there was frost.",sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.1044,0,1,1,2,1,"No, we couldn't SEE the flowers, but we could smell them.",sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,7.4876,0,2,2,0,1,"No, she doesn't EAT the plants, but she grows them.",sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.2857,0,3,3,3,1,"No, he won't WASH the dishes, but he will dry them.",sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,space,7.9538,space,6.5802,0,0,0,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,space,6.8498,0,1,1,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,space,6.7969,0,2,2,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,space,6.7117,0,3,3,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,space,6.3337,0,4,4,6,1,target,0,penultimate,"No, HER permit wasn't suspended, but mine was.",permit,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,sln040,2023-03-20_13h05.06.753,english_experiment2,2022.1.4,Win32,60.0276127,,,space,6.4812,0,5,5,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
