key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialcatalan,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trial_randomizer.thisRepN,trial_randomizer.thisTrialN,trial_randomizer.thisN,trial_randomizer.thisIndex,trial_randomizer.ran,fillertarget,stress,wordcatalan,verbcatalan,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialRep.thisRepN,mainTrialRep.thisTrialN,mainTrialRep.thisN,mainTrialRep.thisIndex,mainTrialRep.ran,trial_randomizer2.thisRepN,trial_randomizer2.thisTrialN,trial_randomizer2.thisN,trial_randomizer2.thisIndex,trial_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2782.4497,space,3.9785,0,0,0,3,1,"""T'estimo molt"" —va sospirar content.",srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.4189,0,1,1,0,1,"""Ha regalat un pastís al seu nebot"" —va pensar confiat.",srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.9426,0,2,2,2,1,"""Voldria una mica de cafè"" —pensa complaguda.",srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,4.5874,0,3,3,1,1,"""Depèn de la temporada"" —explica seriòs.",srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,space,5.0788,space,6.7295,0,0,0,12,1,target,ultimate,"""Aquest verí va molt bé"" —va exterminar complaguda.",exterminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.0732,0,1,1,10,1,target,ultimate,"""Érem a casa a l'hora del crim"" —va eliminar segura.",eliminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.3778,0,2,2,0,1,target,ultimate,"""No m'agraden gens les curses de braus"" —va abominar plena.",abominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.6124,0,3,3,3,1,target,penultimate,"""La senyora Martí renuncia al seu càrrec"" —dissemina prematura.",disseminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.1141,0,4,4,7,1,target,penultimate,"""No m'agrada que em truquis"" —li recrimina seriosa.",recriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.1557,0,5,5,6,1,target,ultimate,"""Llegiu aquests articles"" —les va encaminar tímida.",encaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.6898,0,6,6,11,1,target,penultimate,"""Vostès són les culpables"" —les incrimina confiat.",incriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.5028,0,7,7,1,1,target,penultimate,"""La massa de l'àtom és mesurable"" —determina complaguda.",determinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,4.3735,0,8,8,5,1,target,penultimate,"""Bon Nadal a tots"" —il·lumina content.",illuminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.1216,0,9,9,2,1,target,ultimate,"""Aquest és el camí més curt"" —la va descaminar complagut.",descaminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.3316,0,10,10,8,1,target,ultimate,"""Aquest és més fort"" —va discriminar tímid.",discriminar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.2811,0,11,11,9,1,target,penultimate,"""No passaré mai l'examen"" —es desanima seriós.",desanimar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.2555,0,12,12,4,1,target,ultimate,"""Facin aquesta equació"" —els va examinar clarament.",examinar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.4782,0,13,13,13,1,target,penultimate,"""Aquest gen es diu beta"" —denomina concret.",denominar,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,4.6139,0,0,0,7,1,target,ultimate,"""És culpa teva"" —li va recriminar seriosa.",recriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,0.118,0,1,1,5,1,target,ultimate,"""Acabo de comprar aquest llum"" —va il·luminar content.",illuminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.9237,0,2,2,8,1,target,penultimate,"""Aquest té menys sucre"" —discrimina tímid.",discriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.8565,0,3,3,11,1,target,ultimate,"""Van entrar sense demanar permís"" —les va incriminar confiat.",incriminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.4023,0,4,4,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.0197,0,5,5,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.7897,0,6,6,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.3009,0,7,7,4,1,target,penultimate,"""Escriguin la resposta"" —els examina clarament.",examinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,4.7632,0,8,8,13,1,target,ultimate,"""Retrat d'un home trist"" —va denominar concret.",denominar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.4293,0,9,9,6,1,target,penultimate,"""Confirmin la cita per demà"" —les encamina tímida.",encaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.503,0,10,10,3,1,target,ultimate,"""El president de l'estat està malalt"" —va disseminar prematura.",disseminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,4.9406,0,11,11,10,1,target,penultimate,"""No són necessaris"" —elimina segura.",eliminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.0739,0,12,12,12,1,target,penultimate,"""No hi haurà més bestioles"" —extermina complaguda.",exterminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.9448,0,13,13,9,1,target,ultimate,"""No puc cuinar sense cremar el menjar"" —es va desanimar seriós.",desanimar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,space,7.8865,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,6.994,0,0,0,1,1,target,ultimate,"""Amb la pluja el vent és molt fort"" —va determinar complaguda.",determinar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,5.9467,0,1,1,2,1,target,penultimate,"""Aquest no és el meu número de telèfon"" —la descamina complagut.",descaminar,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,02-28-2023_20h17.32.599,catalan_exp2,2022.1.4,Win32,60.38282712,,,space,4.3561,0,2,2,0,1,target,penultimate,"""No m'agrada el te de camamilla"" —abomina plena.",abominar,1,,,,,,,,,,,,,,,,,,,,,,,
