key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,171.1229,space,10.6629,0,0,0,2,1,"No, we couldn't SEE the flowers, but we could smell them.",srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,5.5072,0,1,1,0,1,"No, she doesn't EAT the plants, but she grows them.",srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.062,0,2,2,3,1,"No, he won't WASH the dishes, but he will dry them.",srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,6.3987,0,3,3,1,1,"No, there wasn't DEW on the ground, but there was frost.",srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,space,18.75,space,8.1655,0,0,0,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,8.6543,0,1,1,14,1,target,1,ultimate,"No, the FATHER won’t desert the army, but his son will.",desert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.3847,0,2,2,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,8.0741,0,3,3,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,7.9801,0,4,4,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.7743,0,5,5,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.4924,0,6,6,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.7238,0,7,7,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.1046,0,8,8,1,1,target,0,penultimate,"No, MONDAY isn’t the discount day, but Friday is.",discount,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.0376,0,9,9,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.8693,0,10,10,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,7.2727,0,11,11,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,7.8677,0,12,12,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.561,0,13,13,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,8.8188,0,14,14,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.7479,0,15,15,3,1,target,0,penultimate,"No, the DRINKS weren’t of great import to him, but the dinner was.",import,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.4384,0,16,16,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.9377,0,17,17,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,space,6.2833,0,18,18,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,srm056,03-03-2023_08h31.23.240,english_experiment2,2022.1.4,Win32,59.84440455,,,,,,,,,,,,,,,,0,0,0,1,1,main_trial_block2.xlsx,,,,,,,,,,,,,,,,,
