key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
space,2631.2537,space,9.9444,0,0,0,0,1,"No, she doesn't EAT the plants, but she grows them.",vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,12.4344,0,1,1,3,1,"No, he won't WASH the dishes, but he will dry them.",vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,11.803,0,2,2,1,1,"No, there wasn't DEW on the ground, but there was frost.",vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,9.8041,0,3,3,2,1,"No, we couldn't SEE the flowers, but we could smell them.",vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,space,1.3867,space,17.7524,0,0,0,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,8.9463,0,1,1,16,1,target,1,ultimate,"No, THEY will not object to our methods, but he will.",object,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,9.0433,0,2,2,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,9.0279,0,3,3,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,9.08,0,4,4,4,1,target,0,ultimate,"No, his SINGING doesn’t impress us, but his cooking does.",impress,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vrc053,2023-03-13_16h17.26.779,english_experiment2,2022.1.4,MacIntel,60.0024001,,,space,7.3587,0,5,5,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
