Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	20.927	4.120	-12.382	-21.605	-13.612	-8.504	-14.792	16.808	16.501	42.532	34.539	29.432	2.410	-1.266	26.053	2.144	30.506	40.680	44.487	44.465	0.000	21.712	7.693	0.490	2.919	-4.088	-0.465	-12.531	-13.525	14.019	7.204	18.793	25.801	22.178	13.021	0.489	204.112	202.601	203.536	204.215	0	735.548	2363.647	3042.350	4029.405	355.077	2805.721	3746.038	4581.744	0	0	0	0	347.116	126.842	84.278	312.996	519.865	363.713	1341.849	1022.335	0	0	0	0	0.205	
lrv099_catala_exp2_a.mat	"a"	3421.166	3501.372	19.418	4.686	-14.122	-19.125	-21.252	-9.591	-11.833	14.732	18.808	38.543	40.670	29.009	-2.289	8.389	23.106	1.849	31.482	32.598	37.773	39.482	0.000	20.090	7.605	9.277	9.155	0.714	-10.069	-13.738	-20.222	12.485	-1.672	10.935	19.376	30.159	23.014	6.628	211.719	211.682	207.727	211.102	0	869.011	1564.873	3079.665	3955.519	761.485	1709.106	3768.440	5076.566	0	0	0	0	298.334	221.901	156.412	275.638	810.733	813.543	685.137	1068.556	0	0	0	0	0.210	
lrv099_catala_exp2_a.mat	"i"	7931.800	7979.869	11.935	15.855	17.809	10.503	4.465	6.305	2.997	-3.920	-1.953	1.432	7.470	5.630	14.812	22.601	25.742	1.544	30.491	41.154	46.163	46.424	0.000	19.870	9.877	-1.701	19.628	-6.692	-5.596	-16.617	-19.605	9.993	11.578	0.242	26.562	25.465	14.916	3.199	199.114	199.037	199.163	200.512	0	225.380	2452.164	3077.211	3919.644	410.815	2694.580	3520.526	5032.521	0	0	0	0	114.756	156.661	119.475	195.546	222.019	419.076	561.219	756.428	0	0	0	0	0.204	
lrv099_catala_exp2_a.mat	"a"	8017.312	8083.331	9.754	13.376	22.242	8.334	2.360	13.707	3.894	-3.623	-8.865	1.420	7.394	-3.954	18.347	16.724	23.114	1.239	31.431	37.203	39.094	39.701	0.000	18.374	7.216	3.431	18.204	-3.478	-6.876	-10.122	-12.830	11.158	3.786	0.170	21.852	25.250	13.553	2.003	218.926	219.158	215.408	219.467	0	245.777	1833.354	3129.720	4020.726	565.080	2069.821	3605.410	4896.518	0	0	0	0	194.443	144.520	93.124	320.408	834.812	1027.783	483.906	242.355	0	0	0	0	0.224	
lrv099_catala_exp2_a.mat	"i"	12637.800	12697.627	22.174	6.194	-8.876	-17.493	-13.925	-14.555	-15.125	15.979	15.071	39.667	36.098	36.729	6.249	3.056	26.770	2.945	35.317	46.545	50.721	48.580	0.000	23.033	10.175	0.554	6.595	-5.807	-4.854	-14.289	-18.181	12.858	9.621	16.439	28.840	27.887	14.843	3.127	207.138	207.104	207.301	206.329	0	704.734	2467.162	3061.695	4015.423	361.106	2771.499	3594.151	4399.024	0	0	0	0	190.465	149.104	164.238	240.128	231.801	389.035	1192.657	1116.961	0	0	0	0	0.213	
lrv099_catala_exp2_a.mat	"a"	12731.702	12815.098	18.982	3.399	-14.832	-17.191	-18.577	-6.793	-15.959	15.583	18.230	36.173	37.559	25.774	1.127	-3.338	25.962	1.608	35.852	39.647	41.831	42.639	0.000	19.660	6.390	8.472	8.798	-2.989	-4.876	-3.741	-12.621	13.270	-2.082	10.862	22.649	24.536	12.212	8.487	199.683	198.864	200.237	199.916	0	800.521	1912.828	3111.101	4471.271	618.337	2003.767	3289.142	4770.707	0	0	0	0	300.235	150.557	124.746	456.276	593.295	1209.511	701.493	202.410	0	0	0	0	0.202	
lrv099_catala_exp2_a.mat	"i"	22483.800	22533.800	21.482	4.604	-9.353	-18.736	-17.751	-14.299	-16.731	16.878	13.957	40.218	39.233	35.781	7.378	3.392	26.423	2.495	34.116	43.720	47.486	48.069	0.000	22.318	8.436	1.800	5.705	-7.311	-6.634	-14.001	-20.123	13.882	6.636	16.613	29.629	28.952	15.801	5.855	203.178	202.957	204.376	203.620	0	708.293	2315.381	2988.608	3859.864	381.109	2671.045	3597.440	4374.354	0	0	0	0	209.301	187.480	184.183	278.595	289.201	575.434	1029.927	1980.584	0	0	0	0	0.196	
lrv099_catala_exp2_a.mat	"a"	22573.800	22643.800	16.488	4.813	-12.538	-15.964	-15.929	-9.045	-14.831	11.675	17.351	32.452	32.417	25.532	2.293	0.878	25.321	1.098	35.905	39.680	41.865	42.624	0.000	17.221	8.120	9.015	9.662	-0.605	-6.806	-4.846	-15.709	9.101	-0.895	7.559	17.826	24.027	13.861	12.140	197.116	195.999	196.342	196.958	0	730.714	1832.225	2929.125	4031.292	745.299	2028.862	3502.816	4874.672	0	0	0	0	293.565	187.499	346.251	493.637	600.549	788.822	866.257	476.473	0	0	0	0	0.197	
lrv099_catala_exp2_a.mat	"i"	27329.800	27385.162	22.248	2.999	-12.037	-20.002	-16.433	-11.913	-16.076	19.249	15.037	42.250	38.681	34.161	4.039	5.006	26.774	2.868	28.360	41.102	45.617	46.761	0.000	23.067	6.748	-0.206	4.446	-6.494	-5.116	-13.619	-21.083	16.319	6.954	18.621	29.561	28.183	13.412	7.660	203.332	203.181	203.881	203.620	0	709.843	2343.786	3053.408	3971.604	329.707	2686.569	3568.583	4402.989	0	0	0	0	248.350	129.934	129.350	383.773	311.830	510.011	1055.462	1470.559	0	0	0	0	0.214	
lrv099_catala_exp2_a.mat	"a"	27430.034	27501.944	16.274	4.827	-10.244	-17.242	-20.738	-8.936	-16.571	11.448	15.070	33.516	37.012	25.210	6.327	-1.187	27.001	1.097	36.356	40.999	45.123	46.266	0.159	16.897	7.533	9.577	9.748	-1.990	-8.557	-14.098	-15.384	9.365	-2.045	7.149	18.887	25.454	23.676	-0.399	192.443	191.454	193.060	192.361	0	826.914	1718.660	3064.006	4057.486	860.911	1802.255	3490.027	4828.851	0	0	0	0	317.612	435.357	306.527	454.783	630.593	1218.789	683.228	431.899	0	0	0	0	0.192	
