Filename	Label	seg_Start	seg_End	t_ms	H1c	H2c	H4c	A1c	A2c	A3c	H2Kc	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H42Kc	H2KH5Kc	CPP	Energy	HNR05	HNR15	HNR25	HNR35	SHR	H1u	H2u	H4u	A1u	A2u	A3u	H2Ku	H5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	H42Ku	H2KH5Ku	strF0	sF0	pF0	shrF0	oF0	sF1	sF2	sF3	sF4	pF1	pF2	pF3	pF4	oF1	oF2	oF3	oF4	sB1	sB2	sB3	sB4	pB1	pB2	pB3	pB4	oB1	oB2	oB3	oB4	epoch	soe	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3322.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.422	2.708	35.175	45.717	50.077	49.494	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.324	203.874	0	203.620	0	730.103	2266.081	3040.667	4231.534	0	0	0	0	0	0	0	0	305.212	121.140	101.125	215.481	0	0	0	0	0	0	0	0	1.000	0.098	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3323.000	21.739	4.488	-15.537	-24.420	-20.320	-15.849	-18.194	17.251	20.025	46.159	42.059	37.588	2.657	0.055	24.332	2.697	33.887	44.432	48.623	48.103	0.000	22.519	8.023	-1.793	0.329	-9.164	-8.711	-11.689	-18.249	14.496	9.816	22.190	31.683	31.231	9.896	0	207.741	203.820	0	206.198	0	728.025	2275.274	3043.586	4233.306	0	0	0	0	0	0	0	0	314.721	114.618	94.874	220.097	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3324.000	21.747	4.374	-15.538	-24.265	-20.115	-15.669	-17.985	17.373	19.912	46.012	41.862	37.417	2.446	0.144	24.181	2.620	32.754	43.406	47.465	47.020	0.000	22.530	7.922	-1.959	0.461	-9.068	-8.519	-11.784	-18.129	14.608	9.881	22.069	31.597	31.049	9.826	0	208.171	203.735	0	206.198	0	728.261	2284.934	3044.536	4235.008	0	0	0	0	0	0	0	0	320.457	109.401	89.280	224.520	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3325.000	21.753	4.341	-15.177	-23.702	-19.528	-15.173	-17.499	17.411	19.518	45.455	41.280	36.925	2.322	0.220	24.047	2.630	31.658	42.367	46.276	45.887	0.000	22.538	7.904	-1.765	1.000	-8.589	-8.020	-11.611	-17.719	14.634	9.669	21.538	31.127	30.558	9.847	0	208.453	203.696	0	206.198	0	726.989	2295.879	3048.030	4235.586	0	0	0	0	0	0	0	0	330.115	106.941	86.235	238.334	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3326.000	21.752	4.236	-14.948	-23.634	-19.233	-14.653	-17.264	17.516	19.184	45.386	40.985	36.405	2.316	0.371	23.866	2.622	30.674	41.262	44.973	44.624	0.000	22.540	7.813	-1.699	1.046	-8.406	-7.505	-11.614	-17.636	14.727	9.512	21.494	30.946	30.045	9.915	0	208.516	203.645	0	206.198	0	726.280	2306.281	3047.097	4238.220	0	0	0	0	0	0	0	0	338.483	105.012	82.017	241.319	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3327.000	21.751	4.226	-14.700	-22.996	-18.825	-14.117	-17.105	17.525	18.926	44.747	40.577	35.869	2.405	0.238	23.748	2.555	29.617	40.151	43.805	43.551	0.000	22.541	7.817	-1.610	1.662	-8.110	-6.987	-11.621	-17.343	14.725	9.426	20.879	30.651	29.528	10.012	0	208.227	203.531	0	206.198	0	725.496	2317.706	3048.399	4239.069	0	0	0	0	0	0	0	0	342.960	102.557	78.535	250.591	0	0	0	0	0	0	0	0	1.000	0.096	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3328.000	21.743	4.329	-14.272	-22.680	-18.194	-13.410	-16.469	17.414	18.601	44.423	39.937	35.153	2.198	0.028	23.629	2.563	28.589	39.090	42.702	42.561	0.000	22.535	7.931	-1.322	1.957	-7.596	-6.297	-11.332	-16.497	14.604	9.254	20.579	30.131	28.833	10.010	0	207.572	203.499	0	206.198	0	723.662	2328.800	3049.831	4239.026	0	0	0	0	0	0	0	0	350.293	103.054	76.943	258.703	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3329.000	21.724	4.314	-14.096	-22.383	-17.879	-12.882	-16.241	17.411	18.410	44.107	39.604	34.606	2.144	-0.051	23.557	2.481	27.745	38.155	41.610	41.497	0.000	22.519	7.927	-1.279	2.233	-7.400	-5.794	-11.446	-16.190	14.592	9.206	20.285	29.919	28.313	10.167	0	206.884	203.467	0	206.198	0	723.191	2340.075	3050.707	4239.097	0	0	0	0	0	0	0	0	349.955	102.444	74.785	270.221	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3330.000	21.703	4.397	-13.654	-21.902	-17.271	-12.182	-15.622	17.305	18.051	43.605	38.974	33.885	1.968	-0.008	23.525	2.472	26.656	37.002	40.314	40.234	0.000	22.499	8.022	-0.983	2.692	-6.910	-5.125	-11.221	-15.614	14.477	9.005	19.807	29.409	27.624	10.239	0	206.189	203.437	0	206.198	0	722.513	2352.041	3053.230	4240.322	0	0	0	0	0	0	0	0	350.329	103.160	73.748	291.042	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3331.000	21.667	4.256	-13.427	-21.872	-16.878	-11.663	-15.374	17.412	17.683	43.540	38.545	33.331	1.947	0.175	23.584	2.469	25.451	35.823	39.166	39.268	0.000	22.466	7.894	-0.935	2.697	-6.633	-4.646	-11.224	-15.549	14.572	8.830	19.769	29.099	27.112	10.289	0	205.574	203.346	0	206.198	0	720.995	2364.675	3053.340	4236.847	0	0	0	0	0	0	0	0	348.513	103.341	71.795	310.379	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3332.000	21.627	4.241	-13.168	-21.420	-16.303	-10.891	-15.130	17.386	17.409	43.047	37.931	32.518	1.962	0.056	23.689	2.403	24.294	34.722	38.119	38.417	0.000	22.428	7.894	-0.852	3.124	-6.175	-3.917	-11.228	-15.186	14.535	8.746	19.305	28.603	26.346	10.376	0	204.923	203.245	0	203.620	0	721.986	2376.296	3055.012	4231.524	0	0	0	0	0	0	0	0	341.041	103.016	69.606	341.814	0	0	0	0	0	0	0	0	1.000	0.089	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3333.000	21.583	4.326	-12.629	-21.160	-15.747	-10.218	-14.687	17.257	16.955	42.744	37.330	31.802	2.059	-0.108	23.751	2.397	23.367	33.888	37.380	37.841	0.000	22.386	7.988	-0.446	3.361	-5.738	-3.246	-11.055	-14.580	14.398	8.434	19.025	28.124	25.632	10.609	0	204.218	203.187	0	203.620	0	720.434	2389.262	3056.231	4221.900	0	0	0	0	0	0	0	0	336.633	104.151	68.661	379.493	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3334.000	21.525	4.353	-12.398	-20.721	-15.211	-9.513	-14.605	17.172	16.751	42.246	36.736	31.038	2.207	-0.493	23.939	2.418	22.650	33.355	36.908	37.487	0.000	22.329	8.022	-0.326	3.780	-5.322	-2.509	-11.187	-14.112	14.307	8.348	18.549	27.651	24.838	10.861	0	203.535	203.099	0	203.620	0	720.281	2401.017	3057.314	4208.706	0	0	0	0	0	0	0	0	326.392	104.054	66.942	438.829	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3335.000	21.469	4.492	-12.045	-20.219	-14.436	-8.820	-14.039	16.977	16.536	41.688	35.905	30.289	1.995	-0.348	24.290	2.308	22.130	33.057	36.648	37.347	0.000	22.274	8.166	-0.065	4.262	-4.672	-1.740	-10.943	-13.691	14.108	8.230	18.012	26.945	24.014	10.879	0	202.949	203.013	0	203.620	0	721.323	2411.588	3058.547	4137.470	0	0	0	0	0	0	0	0	319.529	105.452	66.004	593.218	0	0	0	0	0	0	0	0	0.000	0	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	3336.000	21.401	4.335	-11.913	-20.237	-13.988	-8.331	-13.893	17.066	16.248	41.638	35.389	29.732	1.981	-0.398	24.574	2.313	21.628	32.768	36.587	37.496	0.000	22.206	8.012	-0.003	4.227	-4.342	-1.155	-11.078	-13.495	14.194	8.015	17.979	26.548	23.361	11.075	0	202.612	202.920	0	203.620	0	720.893	2420.522	3057.941	4083.588	0	0	0	0	0	0	0	0	315.603	106.455	64.685	480.949	0	0	0	0	0	0	0	0	1.000	0.082	
