Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	
afs116_catala_exp2_a.mat	"i"	5808.263	5880.000	0	0	0	0	0	0	0	0	0	0	0	0	2.027	0	0	0	0	0.689	0	0	0	0	0	0	0	0	0	0	0	214.879	214.724	215.169	215.573	370.632	1022.064	2757.576	3710.802	841.155	2768.201	4036.461	4219.764	
afs116_catala_exp2_a.mat	"a"	5974.435	6249.100	10.511	2.333	10.185	-12.022	5.514	2.974	8.178	-7.852	22.533	4.996	7.536	22.885	9.773	38.283	27.609	28.908	31.274	0.069	13.007	9.998	16.647	11.948	22.467	18.852	3.009	-6.649	1.060	-9.459	-5.845	256.735	255.060	249.018	250.642	599.884	1252.682	1647.339	3698.479	1041.290	1572.536	3588.091	4465.044	
afs116_catala_exp2_a.mat	"i"	11426.143	11540.600	12.054	11.128	11.402	-9.519	1.819	26.349	0.926	-0.275	21.573	10.235	-14.295	23.386	1.525	38.794	41.579	47.213	46.690	0.000	16.820	16.321	5.594	6.309	9.029	-3.721	0.499	10.727	10.511	7.791	20.541	209.019	208.756	209.094	208.054	329.584	1041.040	3249.417	4219.348	946.664	3353.907	4362.954	0	
afs116_catala_exp2_a.mat	"a"	11790.600	12090.600	10.516	2.929	6.733	-13.412	2.009	3.168	7.587	-3.805	23.928	8.507	7.348	22.635	6.205	40.017	31.012	32.570	34.712	0.110	13.378	9.399	15.261	11.089	19.741	11.377	3.979	-5.863	2.289	-6.363	2.001	264.008	263.577	257.407	260.936	626.387	1297.339	2301.141	3933.510	966.891	1574.426	3477.352	4437.865	
afs116_catala_exp2_a.mat	"i"	41302.182	41500.200	12.355	7.137	11.799	-3.304	-0.731	22.468	5.218	-4.662	15.659	13.086	-10.113	24.928	1.563	46.984	48.124	54.370	53.177	0.429	16.287	16.811	8.605	14.782	8.593	-7.156	-0.524	8.206	1.504	7.694	23.443	215.571	215.483	215.614	216.376	369.904	1050.428	3358.187	4359.227	940.577	3371.857	4444.714	4604.958	
afs116_catala_exp2_a.mat	"a"	41783.144	42100.200	9.735	1.221	11.003	-13.608	3.840	3.412	8.515	-9.782	23.343	5.895	6.323	22.827	4.784	43.632	33.733	35.561	37.149	0.143	13.186	8.499	16.631	9.486	19.765	16.086	4.687	-8.132	3.700	-6.579	-2.900	254.146	253.991	247.825	251.398	549.196	1163.543	1601.875	3612.654	962.067	1535.822	3467.511	4528.256	
afs116_catala_exp2_a.mat	"i"	65789.004	65950.400	12.275	9.397	12.089	-5.290	2.015	10.732	2.878	-2.692	17.565	10.260	1.543	23.696	1.593	47.086	47.756	53.092	51.113	0.000	16.774	16.395	7.623	11.578	10.186	-10.345	0.379	8.771	5.196	6.588	27.119	213.739	213.349	214.036	214.390	340.660	1049.328	2653.899	3524.240	958.747	3265.475	4241.142	5032.070	
afs116_catala_exp2_a.mat	"a"	66090.400	66373.348	10.907	-0.650	9.738	-14.626	2.724	3.613	11.557	-10.388	25.533	8.183	7.294	23.841	4.347	44.149	34.627	36.047	37.564	0.306	13.125	9.068	15.504	9.598	19.581	12.981	4.056	-6.435	3.527	-6.457	0.143	245.694	246.146	237.259	231.193	687.402	1265.049	2155.271	3827.929	1043.704	1568.161	3363.084	4421.213	
afs116_catala_exp2_a.mat	"i"	78165.222	78285.600	11.451	11.912	13.521	-9.683	8.172	16.411	-0.461	-1.609	21.135	3.279	-4.960	25.428	1.639	44.942	45.265	50.621	49.407	0.000	16.831	14.811	6.532	5.157	14.331	-7.257	2.020	8.279	11.674	2.500	24.087	211.298	211.095	210.944	211.137	315.711	1053.928	2725.486	3834.126	1031.654	3213.970	4306.394	0	
afs116_catala_exp2_a.mat	"a"	78465.600	78778.568	12.259	3.442	8.602	-12.732	4.336	2.577	8.818	-5.160	24.991	7.923	9.682	24.727	6.801	44.608	35.235	36.778	38.801	0.119	14.386	10.251	16.624	11.900	22.216	14.203	4.135	-6.373	2.486	-7.830	0.183	247.584	224.502	242.637	242.960	712.624	1326.528	2274.362	3671.788	1042.005	1554.505	3526.659	4400.941	
afs116_catala_exp2_a.mat	"i"	88670.600	88810.600	13.291	13.864	12.166	-6.781	6.297	25.555	-0.573	1.697	20.072	6.994	-12.264	23.959	1.995	46.344	48.161	53.125	50.675	0.000	18.760	16.476	4.938	7.726	12.234	-5.953	2.284	11.538	11.033	6.526	24.713	208.394	208.231	208.486	206.648	305.219	1043.864	3237.584	4358.291	999.402	3117.531	4323.338	3992.345	
