Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ael236_english_exp2_a.mat	"pen"	2970.842	3036.542	0	0	0	0	0	0	0	0	0	0	0	0	0.758	0	0	0	0	0.332	0	0	0	0	0	0	0	0	0	0	0	104.345	43.363	102.805	140.517	348.197	1762.957	2727.573	3652.399	471.619	1745.048	2515.774	3486.112	205.316	354.321	496.484	273.423	334.836	314.586	590.467	440.715	
ael236_english_exp2_a.mat	"ult"	3271.602	3410.000	2.668	-3.589	-1.191	-4.512	-10.290	0.740	6.257	-2.398	7.180	12.958	1.928	13.545	1.863	8.763	8.150	11.950	13.773	0.118	5.479	17.296	-1.972	17.281	2.034	-1.601	-11.817	19.268	-11.802	3.444	7.080	286.374	69.785	84.446	212.912	571.749	1520.975	2493.673	3645.692	589.207	1525.260	2517.572	3544.462	58.322	246.796	275.049	335.477	76.183	275.565	271.598	372.340	
ael236_english_exp2_a.mat	"pen"	9149.304	9227.500	0	0	0	0	0	0	0	0	0	0	0	16.009	3.648	6.460	6.548	11.148	13.706	0.315	0	0	0	0	0	0	0	0	0	0	0	94.121	0.000	0	147.519	518.879	1382.062	2751.277	3693.533	656.506	1486.707	2606.041	3482.624	173.897	340.904	429.289	358.536	251.559	265.914	727.204	775.935	
ael236_english_exp2_a.mat	"ult"	9410.644	9507.500	6.191	10.589	7.988	3.644	2.509	1.110	-4.398	2.601	2.547	3.682	5.081	17.730	1.356	11.731	26.080	27.440	27.346	0.232	7.278	16.061	10.515	18.869	0.676	-5.159	-8.783	5.546	-11.591	6.602	12.437	95.652	79.432	75.026	97.656	287.774	2021.734	2727.089	3548.939	365.957	2050.579	2817.821	3691.196	44.543	92.788	265.381	379.037	90.400	110.402	371.323	536.390	
ael236_english_exp2_a.mat	"pen"	15199.440	15246.160	0	0	0	0	0	0	0	0	0	0	0	0	2.007	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	93.751	74.130	95.225	104.809	433.682	1447.597	2513.902	3974.065	474.879	1456.162	2537.129	3700.128	109.891	104.739	82.633	178.670	128.897	161.081	95.526	538.305	
ael236_english_exp2_a.mat	"ult"	15387.780	15481.220	6.644	10.713	7.353	-1.734	-1.381	1.462	-4.069	3.360	8.378	8.025	5.182	16.220	4.364	5.677	10.886	12.335	14.023	0.145	7.083	12.693	14.116	21.565	9.629	7.732	-5.609	-1.423	-14.481	-2.546	-0.648	89.582	0.000	289.572	162.475	497.876	1608.827	2223.590	3845.660	593.265	1709.834	2333.871	3382.021	89.226	261.830	238.489	146.361	192.932	299.077	373.052	570.317	
ael236_english_exp2_a.mat	"pen"	28105.698	28233.834	6.667	7.294	-0.224	-17.343	-21.512	-17.839	-0.627	7.518	24.010	28.179	24.506	15.632	1.308	9.164	8.291	15.017	19.661	0.276	6.969	8.558	6.142	13.399	4.793	-9.298	-1.588	2.415	-6.429	2.176	16.267	97.565	30.018	47.582	129.472	777.489	1274.825	2236.702	3502.716	761.103	1193.658	2172.910	3441.229	199.145	537.115	551.451	230.460	224.115	603.233	724.444	334.695	
ael236_english_exp2_a.mat	"ult"	28349.518	28406.458	0	0	0	0	0	0	0	0	0	0	0	0	0.296	0	0	0	0	0.106	0	0	0	0	0	0	0	0	0	0	0	124.662	34.333	69.764	156.012	422.135	1704.580	2536.262	3757.503	450.281	1679.106	2540.175	3309.736	208.242	143.284	142.503	399.940	188.471	166.904	171.523	726.650	
ael236_english_exp2_a.mat	"pen"	41487.500	41532.468	0	0	0	0	0	0	0	0	0	0	0	0	1.142	0	0	0	0	0.190	0	0	0	0	0	0	0	0	0	0	0	48.477	0.000	0	155.643	533.530	1687.040	2515.300	3599.832	541.027	1702.120	2540.511	3530.515	224.343	239.995	233.674	335.107	187.591	242.674	221.310	589.999	
ael236_english_exp2_a.mat	"ult"	41721.075	41770.011	0	0	0	0	0	0	0	0	0	0	0	0	0.800	0	0	0	0	0.138	0	0	0	0	0	0	0	0	0	0	0	123.937	0.000	0	166.544	432.196	847.737	1562.103	4317.195	573.895	914.092	1784.114	3502.332	128.357	124.328	545.225	865.956	311.006	303.109	589.898	821.263	
