Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
lrv099_catala_exp2_a.mat	"i"	3322.088	3360.000	0	0	0	0	0	0	0	0	0	0	0	0	2.170	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	204.435	202.869	203.794	204.193	221.147	2347.621	3040.600	4056.890	371.155	2125.101	2952.220	4110.025	97.745	134.164	92.616	292.303	191.920	918.932	283.255	416.972	
lrv099_catala_exp2_a.mat	"a"	3421.166	3501.372	17.211	5.724	-8.361	-11.074	-16.140	-2.821	11.487	14.085	28.284	33.351	20.031	23.111	1.857	31.656	33.976	39.440	41.245	0.000	19.908	6.653	5.729	11.886	-0.747	-11.266	13.254	0.925	8.022	20.655	31.174	210.431	210.993	206.502	207.403	790.821	1564.648	3067.019	3948.480	551.131	1334.871	3081.755	3963.910	270.287	283.466	169.938	301.331	313.628	352.258	642.785	939.813	
lrv099_catala_exp2_a.mat	"i"	7931.800	7979.869	0	0	0	0	0	0	0	0	0	0	0	0	1.536	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	199.544	199.092	199.088	199.704	226.716	2394.888	3062.831	3905.960	391.278	1986.338	2828.797	3737.359	118.878	191.807	140.241	200.379	167.919	1353.476	335.107	412.656	
lrv099_catala_exp2_a.mat	"a"	8017.312	8083.331	10.888	14.955	20.497	9.841	3.947	8.736	-4.067	-5.541	1.048	6.942	2.153	24.216	1.222	30.276	39.500	43.282	43.811	0.000	19.121	8.657	1.044	19.038	-5.282	-7.127	10.463	7.613	0.083	24.403	26.248	217.460	218.350	213.889	216.270	243.967	1836.823	3124.644	4075.260	493.088	1639.635	3109.730	4092.256	185.798	146.079	93.411	317.156	220.432	474.093	399.319	685.423	
lrv099_catala_exp2_a.mat	"i"	12637.800	12697.627	0	0	0	0	0	0	0	0	0	0	0	0	2.891	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	207.202	207.050	207.245	206.203	704.361	2458.401	3052.351	4009.681	383.491	2449.918	3203.210	4228.372	194.621	163.309	174.431	240.929	285.150	1066.286	469.686	405.100	
lrv099_catala_exp2_a.mat	"a"	12731.702	12815.098	19.996	4.780	-12.199	-17.855	-17.418	-11.170	15.216	16.979	37.852	37.415	31.166	24.735	1.605	33.790	41.013	44.452	44.017	0.000	20.755	8.207	4.503	7.213	-5.428	-6.281	12.548	3.703	13.542	26.183	27.035	200.169	199.206	200.656	200.967	795.532	1914.867	3106.454	4469.409	560.549	1810.018	3097.776	4436.949	307.668	157.067	131.248	436.609	220.700	580.670	334.210	1327.173	
lrv099_catala_exp2_a.mat	"i"	22483.800	22533.800	0	0	0	0	0	0	0	0	0	0	0	0	2.433	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	203.509	203.005	204.813	204.092	709.316	2286.870	2973.983	3857.530	376.229	1923.437	2803.046	3852.219	218.048	200.879	191.785	268.165	295.584	1853.450	463.518	313.755	
lrv099_catala_exp2_a.mat	"a"	22573.800	22643.800	0	0	0	0	0	0	0	0	0	0	0	24.052	1.102	31.072	38.442	42.105	42.437	0.000	0	0	0	0	0	0	0	0	0	0	0	197.324	195.986	196.444	197.075	729.142	1834.268	2931.915	4035.526	617.204	1754.495	2900.974	4089.498	295.248	184.491	343.836	489.176	190.710	364.898	703.297	749.693	
lrv099_catala_exp2_a.mat	"i"	27329.800	27385.162	0	0	0	0	0	0	0	0	0	0	0	0	2.845	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	204.007	203.280	203.928	203.620	212.708	713.043	3044.172	3951.381	327.486	2400.961	3040.648	4041.745	47.691	263.155	147.287	374.698	228.384	763.694	894.236	653.811	
lrv099_catala_exp2_a.mat	"a"	27430.034	27501.944	0	0	0	0	0	0	0	0	0	0	0	24.874	1.104	31.124	40.511	44.704	45.263	0.128	0	0	0	0	0	0	0	0	0	0	0	193.289	191.839	193.640	193.664	741.279	1653.126	3062.183	4066.197	643.887	1521.206	2998.825	4036.730	272.899	440.931	305.219	458.656	236.318	513.830	655.469	854.268	
