Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
acj047_english_exp2_d.mat	"pen"	1600.000	1690.000	15.146	1.849	7.150	-5.321	3.151	4.955	13.296	-5.301	20.466	11.994	10.191	19.886	2.354	15.155	21.070	24.368	23.932	0.055	16.712	10.363	6.530	15.401	6.354	5.906	6.349	3.833	1.312	10.358	10.806	201.204	171.815	221.991	215.285	538.046	2271.214	3033.372	4278.576	587.776	2302.955	3026.807	4393.231	238.176	168.231	154.628	335.022	194.123	180.052	214.707	370.892	
acj047_english_exp2_d.mat	"ult"	1863.966	1924.580	0	0	0	0	0	0	0	0	0	0	0	0	3.545	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	215.337	213.934	222.742	218.139	454.294	920.270	2291.259	3783.141	556.670	1046.110	2445.133	4320.442	230.952	217.233	298.463	737.966	285.132	282.365	383.395	573.531	
acj047_english_exp2_d.mat	"pen"	12546.200	12605.178	0	0	0	0	0	0	0	0	0	0	0	0	2.540	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0	0	210.102	206.544	210.981	197.642	350.368	2136.946	3045.174	4198.624	375.905	2101.515	3098.684	4922.446	84.877	325.256	267.513	1686.146	90.146	494.552	467.837	358.372	
acj047_english_exp2_d.mat	"ult"	12806.200	12936.200	15.051	8.668	-2.993	-23.962	-15.082	-9.497	6.384	11.661	39.013	30.134	24.548	19.788	1.666	16.049	19.400	21.780	21.736	0.023	15.684	10.563	4.395	6.311	5.567	1.205	5.121	6.168	9.373	10.117	14.478	187.187	117.903	185.709	186.887	1064.699	2031.963	3056.430	3964.933	679.001	1932.823	3079.757	3833.362	580.148	298.978	235.670	508.132	526.914	644.016	492.411	907.238	
acj047_english_exp2_d.mat	"pen"	18056.396	18117.010	0	0	0	0	0	0	0	0	0	0	0	0	1.450	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	186.733	185.960	188.401	187.940	451.619	1562.949	2083.581	4082.093	483.341	1630.141	2168.271	4224.358	147.130	113.505	282.888	223.016	251.579	153.798	946.605	255.049	
acj047_english_exp2_d.mat	"ult"	18245.100	18301.000	0	0	0	0	0	0	0	0	0	0	0	0	1.527	0	0	0	0	0.080	0	0	0	0	0	0	0	0	0	0	0	199.274	192.777	201.097	199.355	439.323	1054.719	2467.185	4354.958	558.431	1269.474	2733.114	4545.312	244.059	233.748	221.395	363.038	248.776	308.780	419.066	597.566	
acj047_english_exp2_d.mat	"pen"	23199.600	23269.600	0	0	0	0	0	0	0	0	0	0	0	0	3.001	0	0	0	0	0.195	0	0	0	0	0	0	0	0	0	0	0	201.354	183.045	205.265	205.829	403.679	919.924	2241.800	3721.320	637.079	1421.077	2894.095	4600.419	179.937	180.583	322.315	445.799	611.363	982.107	1327.038	597.454	
acj047_english_exp2_d.mat	"ult"	23404.033	23489.600	11.924	5.013	5.398	-7.494	3.272	-6.618	6.911	-0.385	19.418	8.652	18.542	21.637	1.713	20.440	29.016	29.755	30.661	0.079	13.564	14.330	2.981	13.481	5.748	6.751	-0.766	11.349	0.083	7.816	6.814	177.362	164.885	174.602	170.008	458.924	2311.661	2537.339	4201.636	474.475	2243.842	2510.668	4234.503	109.792	365.541	377.110	245.964	131.634	466.568	202.433	258.344	
acj047_english_exp2_d.mat	"pen"	28621.900	28691.707	0	0	0	0	0	0	0	0	0	0	0	0	3.778	0	0	0	0	0.353	0	0	0	0	0	0	0	0	0	0	0	204.034	186.554	203.996	202.785	677.126	1928.937	2927.337	4322.091	652.605	1898.085	2941.935	4532.270	208.778	121.981	210.176	671.850	150.161	202.959	335.658	509.094	
acj047_english_exp2_d.mat	"ult"	28811.900	28841.900	0	0	0	0	0	0	0	0	0	0	0	0	1.416	0	0	0	0	0.251	0	0	0	0	0	0	0	0	0	0	0	210.229	139.077	204.253	207.845	370.044	2403.581	2885.130	3942.360	666.471	2511.550	3040.190	4206.796	76.588	221.736	294.572	400.174	196.129	228.491	356.876	689.553	
