Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ala054_catala_exp2_d.mat	"i"	3040.245	3060.000	0	0	0	0	0	0	0	0	0	0	0	0	1.990	0	0	0	0	0.844	0	0	0	0	0	0	0	0	0	0	0	112.983	111.698	114.448	114.464	352.764	2001.585	2887.727	3666.073	426.310	2130.553	3118.705	3710.846	114.072	510.523	293.220	289.075	260.072	279.641	622.440	1258.369	
ala054_catala_exp2_d.mat	"a"	3116.093	3170.000	0	0	0	0	0	0	0	0	0	0	0	0	2.683	0	0	0	0	0.671	0	0	0	0	0	0	0	0	0	0	0	106.161	105.349	106.693	117.229	495.749	1467.749	2270.550	3501.666	640.735	1494.003	2312.870	3594.736	355.947	200.924	450.667	361.156	476.774	225.351	722.352	470.584	
ala054_catala_exp2_d.mat	"i"	9232.103	9265.800	0	0	0	0	0	0	0	0	0	0	0	0	3.437	0	0	0	0	0.439	0	0	0	0	0	0	0	0	0	0	0	110.014	109.675	109.998	123.644	349.523	828.375	2656.694	3696.386	444.921	1879.775	2528.882	3681.605	132.808	1015.947	379.304	224.356	210.793	1541.996	354.480	279.212	
ala054_catala_exp2_d.mat	"a"	9325.800	9395.800	0	0	0	0	0	0	0	0	0	0	0	0	2.865	0	0	0	0	0.701	0	0	0	0	0	0	0	0	0	0	0	105.169	104.740	106.275	106.735	539.534	1548.115	2355.030	3787.320	645.470	1562.364	2335.998	3828.141	319.684	136.638	447.603	261.461	314.206	167.403	714.526	191.927	
ala054_catala_exp2_d.mat	"i"	15053.062	15090.400	0	0	0	0	0	0	0	0	0	0	0	0	4.249	0	0	0	0	0.247	0	0	0	0	0	0	0	0	0	0	0	114.908	114.429	115.180	115.609	353.722	2237.447	2703.820	3717.172	423.455	2259.988	2533.108	3576.229	137.393	115.295	173.173	294.939	113.955	465.694	431.585	913.256	
ala054_catala_exp2_d.mat	"a"	15131.851	15220.400	15.040	17.780	2.550	-4.668	7.017	7.503	-2.741	15.230	19.708	8.022	7.537	23.541	4.323	26.400	26.520	25.575	26.310	0.539	15.661	20.550	18.803	17.749	16.719	4.660	-4.889	1.747	-2.089	-1.058	11.001	108.839	108.359	108.974	109.076	432.202	1569.473	2520.764	3790.712	636.970	1537.794	2476.185	3758.665	372.428	128.932	147.404	291.150	266.756	113.438	219.565	477.917	
ala054_catala_exp2_d.mat	"i"	20752.686	20792.800	0	0	0	0	0	0	0	0	0	0	0	0	6.322	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	113.400	113.405	113.327	113.688	324.466	2377.313	2942.128	3778.963	380.495	2409.224	2949.183	3731.730	72.316	90.145	183.224	174.445	94.599	261.376	652.987	1094.696	
ala054_catala_exp2_d.mat	"a"	20864.034	20912.800	0	0	0	0	0	0	0	0	0	0	0	0	4.933	0	0	0	0	0.443	0	0	0	0	0	0	0	0	0	0	0	107.762	106.404	107.851	107.709	494.768	1511.142	2176.755	3603.655	574.338	1551.104	2267.679	3667.860	296.168	146.712	396.957	307.997	340.053	166.221	653.683	191.253	
ala054_catala_exp2_d.mat	"i"	27451.242	27511.400	0	0	0	0	0	0	0	0	0	0	0	0	2.820	0	0	0	0	0.659	0	0	0	0	0	0	0	0	0	0	0	118.902	119.151	118.740	119.250	276.348	2400.205	3022.698	3743.891	351.286	2435.282	2945.981	3721.371	83.936	137.227	321.761	194.637	158.328	320.775	1322.476	315.373	
ala054_catala_exp2_d.mat	"a"	27596.176	27651.400	0	0	0	0	0	0	0	0	0	0	0	0	3.613	0	0	0	0	0.739	0	0	0	0	0	0	0	0	0	0	0	113.077	112.710	113.943	113.819	464.726	1464.149	2520.317	3745.640	574.354	1493.046	2563.234	3743.793	220.824	147.355	339.626	220.004	368.625	154.538	410.918	175.234	
